lemma	bin_tag	mim_tag	freq	rank	ind	pre_kw_orig	kw_orig	post_kw_orig	pre_kw	kw	post_kw	ipa_sd	full_cat	bin_tag_en	tier	verb_1st_pres	verb_2nd_pres	verb_3rd_pres	verb_1st_past	verb_2nd_past	verb_3rd_past	verb_lh_þt	OBEYGJANLEGT	ÞFET	ÞGFET	EFET	NFFT	ÞFFT	ÞGFFT	EFFT	ft	et	ÞF	ÞGF	EF	lo.fst	lo.mst	lo.est	MST	EST	pronounce	manual_en	manual_ukr	full_cat_ukr
veiði	kvk	nv	2685	837	468018	14 skip hafa fengið leyfi til	veiðanna	en þó aðeins tímabundið.	14 skip hafa fengið leyfi til	veiðanna	en þó aðeins tímabundið.	veiːðɪ	Nafnorð	f.	1K									veiði	veiði	veiði	veiðar	veiðar	veiðum	veiða											veiði.mp3	catch; hunting, fishing	полювання; риболовля	іменник
danskur	lo	l	2683	838.5	408852	Þetta kemur fram í	danska	dagblaðinu Politiken.	Þetta kemur fram í	danska	dagblaðinu Politiken.	tanskʏr	Lýsingarorð	adj.	1K																					danskur  --  dönsk -- danskt	danskari -- danskari -- danskara	danskastur -- dönskust -- danskast			danskur.mp3	Danish	датський	прикметник
eðli	hk	nh	2683	838.5	877	Ekki hafa borist fregnir af því hvers	eðlis	slysið var.	Ekki hafa borist fregnir af því hvers	eðlis	slysið var.	ɛðlɪ	Nafnorð	n.	1K									eðli	eðli	eðlis															eðli.mp3	nature, character	характер; властивість	іменник
afi	kk	nk	2682	840	8827	Þeir eru nú umsjón	afa	síns og ömmu.	Þeir eru nú umsjón	afa	síns og ömmu.	aːvɪ	Nafnorð	m.	1K									afa	afa	afa	afar	afa	öfum	afa											afi.mp3	grandpa	дідусь	іменник
könnun	kvk	nv	2673	841	12904	Um 850 einstaklingar svöruðu	könnuninni	.	Um 850 einstaklingar svöruðu	könnuninni	.	kʰœnʏn	Nafnorð	f.	1K									könnun	könnun	könnunar	kannanir	kannanir	könnunum	kannana											könnun.mp3	survey; investigation; exploration	опитування; дослідження; вивчення	іменник
hvenær	ao	a	2666	842	496057	Óvíst er	hvenær	hægt verður að fá fyrstu greiðslu.	Óvíst er	hvenær	hægt verður að fá fyrstu greiðslu.	kʰvɛːnair	Atviksorð	adv.	1K								hvenær																		hvenær.mp3	when	коли	прислівник
kosning	kvk	nv	2664	843	11690		Kosningarnar	standa í tvær vikur og fara fram í gegnum netið.		Kosningarnar	standa í tvær vikur og fara fram í gegnum netið.	kʰɔstniŋk	Nafnorð	f.	1K									kosningu	kosningu	kosningar	kosningar	kosningar	kosningum	kosninga											kosning.mp3	election	вибір; вибори	іменник
herbergi	hk	nh	2661	844	1520	Þar eru leigð út	herbergi	og einstaklingsíbúðir á efri hæð hússins.	Þar eru leigð út	herbergi	og einstaklingsíbúðir á efri hæð hússins.	hɛrpɛrcɪ	Nafnorð	n.	1K									herbergi	herbergi	herbergis	herbergi	herbergi	herbergjum	herbergja											herbergi.mp3	room	кімната	іменник
form	hk	nh	2660	845	1131	Og við ætlum að gera þetta í svona	formi	sendibréfs.	Og við ætlum að gera þetta í svona	formi	sendibréfs.	fɔrm	Nafnorð	n.	1K									form	formi	forms	form	form	formum	forma											form.mp3	form; baking tin	форма	іменник
þróa	so	s	2656	846	425036	Breskir vísindamenn hafa	þróað	lyf sem vinnur gegn Alzheimer sjúkdómnum.	Breskir vísindamenn hafa	þróað	lyf sem vinnur gegn Alzheimer sjúkdómnum.	θrouːa	Sagnorð	v.	1K	þróa	þróar	þróar	þróaði	þróaðir	þróaði	þróað																			þróa.mp3	develop, evolve	розробляти; розвивати	дієслово
tilbúinn	lo	l	2655	847	173133	Við verðum þá	tilbúin	að taka þátt í henni.	Við verðum þá	tilbúin	að taka þátt í henni.	tʰɪlpuɪn	Lýsingarorð	adj.	1K																					tilbúinn  --  tilbúin -- tilbúið					tilbúinn.mp3	ready; prepared; artificial	готовий; штучний	прикметник
höfuðborgarsvæði	hk	nh	2651	848	65410	Mest er atvinnuleysi á	höfuðborgarsvæðinu	en þar eru tæplega 8.800 skráðir.	Mest er atvinnuleysi á	höfuðborgarsvæðinu	en þar eru tæplega 8.800 skráðir.	hœːvʏðpɔrkar̥svaiðɪ	Nafnorð	n.	1K									höfuðborgarsvæði	höfuðborgarsvæði	höfuðborgarsvæðis	höfuðborgarsvæði	höfuðborgarsvæði	höfuðborgarsvæðum	höfuðborgarsvæða											höfuðborgarsvæði.mp3	capital area	столичний регіон	іменник
stelpa	kvk	nv	2648	849	16631	Mótið er opið fyrir allar	stelpur	16 ára og yngri.	Mótið er opið fyrir allar	stelpur	16 ára og yngri.	stɛl̥pa	Nafnorð	f.	1K									stelpu	stelpu	stelpu	stelpur	stelpur	stelpum	stelpna											stelpa.mp3	girl	дівчина	іменник
samvinna	kvk	nv	2646	850.5	147957		Samvinna	væri líkleg til að efla heildina.		Samvinna	væri líkleg til að efla heildina.	samvɪna	Nafnorð	f.	1K									samvinnu	samvinnu	samvinnu															samvinna.mp3	collaboration, teamwork	співпраця; колоборація	іменник
verulega	ao	a	2646	850.5	498091	Staða Milestone hefur versnað	verulega	á undanförnum mánuðum.	Staða Milestone hefur versnað	verulega	á undanförnum mánuðum.	vɛːrʏlɛɣa	Atviksorð	adv.	1K								verulega																		verulega.mp3	significantly; substantially	значно; істотно	прислівник
leyfi	hk	nh	2642	852.5	2250	14 skip hafa fengið	leyfi	til veiðanna en þó aðeins tímabundið.	14 skip hafa fengið	leyfi	til veiðanna en þó aðeins tímabundið.	leiːvɪ	Nafnorð	n.	1K									leyfi	leyfi	leyfis	leyfi	leyfi	leyfum	leyfa											leyfi.mp3	permission; permit; holiday	дозвіл; ліцензія; патент	іменник
starfsfólk	hk	nh	2642	852.5	29314	Vegna þessa hafi verið bætt við	starfsfólki	.	Vegna þessa hafi verið bætt við	starfsfólki	.	starfsfoul̥k	Nafnorð	n.	1K									starfsfólk	starfsfólki	starfsfólks															starfsfólk.mp3	staff, employee	робітники; персонал; колектив	іменник
ágætur	lo	l	2641	855	388025	Veðrið var hinsvegar	ágætt	í morgun og sól á lofti.	Veðrið var hinsvegar	ágætt	í morgun og sól á lofti.	auːcaitʏr	Lýsingarorð	adj.	1K																					ágætur  --  ágæt -- ágætt	ágætari -- ágætari -- ágætara	ágætastur -- ágætust -- ágætast			ágætur.mp3	nice, fine	гарний; чудовий; добрий; прекрасний	прикметник
bygging	kvk	nv	2641	855	11415	Starfsemin fari fram á 17 stöðum í meira en 100	byggingum	.	Starfsemin fari fram á 17 stöðum í meira en 100	byggingum	.	pɪciŋk	Nafnorð	f.	1K									byggingu	byggingu	byggingar	byggingar	byggingar	byggingum	bygginga											bygging.mp3	construction; building; structure	будівля; будівництво; будова	іменник
kyn	hk	nh	2641	855	2196	Svarendur skiptust jafnt eftir	kyni	og landshlutum.	Svarendur skiptust jafnt eftir	kyni	og landshlutum.	cʰɪːn	Nafnorð	n.	1K									kyn	kyni	kyns	kyn	kyn	kynjum	kynja											kyn.mp3	sex; gender; breed	стать; порода; сорт	іменник
gólf	hk	nh	2638	857	1378	Hann rak höfuðið í vegg og féll síðan á	gólfið	.	Hann rak höfuðið í vegg og féll síðan á	gólfið	.	koulv	Nafnorð	n.	1K									gólf	gólfi	gólfs	gólf	gólf	gólfum	gólfa											gólf.mp3	floor	підлога	іменник
erindi	hk	nh	2636	858	935	Ekki liggur fyrir hvaða	erindi	þeir áttu þangað.	Ekki liggur fyrir hvaða	erindi	þeir áttu þangað.	ɛːrɪntɪ	Nafnorð	n.	1K									erindi	erindi	erindis	erindi	erindi	erindum	erinda											erindi.mp3	errand; message; lecture	завдання; справа; повідомлення	іменник
eigandi	kk	nk	2632	859.5	9793		Eigandi	steinanna segir andvirði þeirra einnar milljónar króna virði.		Eigandi	steinanna segir andvirði þeirra einnar milljónar króna virði.	eiːɣantɪ	Nafnorð	m.	1K									eiganda	eiganda	eiganda	eigendur	eigendur	eigendum	eigenda											eigandi.mp3	owner	власник	іменник
vandi	kk	nk	2632	859.5	9253	Hann sagði Evrópusambandið ekki vera lausn á	vanda	Íslendinga.	Hann sagði Evrópusambandið ekki vera lausn á	vanda	Íslendinga.	vantɪ	Nafnorð	m.	1K									vanda	vanda	vanda															vandi.mp3	hard task; trouble, difficulty	труднощі; проблема	іменник
deyja	so	s	2622	861.5	434147	Þúsundir manna	deyja	árlega við að senda sms skilaboð undir stýri.	Þúsundir manna	deyja	árlega við að senda sms skilaboð undir stýri.	teiːja	Sagnorð	v.	1K	dey	deyrð	deyr	dó	dóst	dó	dáið																			deyja.mp3	die; pass out (from drink)	гинути; вмирати	дієслово
hátt	ao	a	2622	861.5	400707		Hátt	í tvö þúsund manns eru í bænum.		Hátt	í tvö þúsund manns eru í bænum.	hauht	Atviksorð	adv.	1K																								hærra	hæst	hátt.mp3	loudly; highly	близько; майже; високий; голосний	прислівник
borða	so	s	2599	863.5	419632	Þó	borði	þeir allir kjúkling.	Þó	borði	þeir allir kjúkling.	pɔrða	Sagnorð	v.	1K	borða	borðar	borðar	borðaði	borðaðir	borðaði	borðað																			borða.mp3	eat; dine	їсти; вживати їжу	дієслово
kvikmynd	kvk	nv	2599	863.5	119191		Kvikmyndin	Djúpið fékk flest verðlaun.		Kvikmyndin	Djúpið fékk flest verðlaun.	kʰvɪːkmɪnt	Nafnorð	f.	1K									kvikmynd	kvikmynd	kvikmyndar	kvikmyndir	kvikmyndir	kvikmyndum	kvikmynda											kvikmynd.mp3	film	фільм	іменник
fjölmargur	lo	l	2595	865.5	412287	Það eru	fjölmargar	vísbendingar um það.	Það eru	fjölmargar	vísbendingar um það.	fjœlmarkʏr	Lýsingarorð	adj.	1K																					fjölmargur  --  fjölmörg -- fjölmargt					fjölmargur.mp3	numerous	чисельний	прикметник
vinstri	lo	l	2595	865.5	165044	Og hann er ekki ánægður með þessa	vinstri	stjórn.	Og hann er ekki ánægður með þessa	vinstri	stjórn.	vɪnstrɪ	Lýsingarorð	adj.	1K																					vinstri  --	vinstri -- vinstri -- vinstra				vinstri.mp3	left	лівий	прикметник
ferðamaður	kk	nk	2593	867	87824	Sem fyrr koma flestir	ferðamenn	hingað frá Bretlandi og Þýskalandi.	Sem fyrr koma flestir	ferðamenn	hingað frá Bretlandi og Þýskalandi.	fɛrðamaðʏr	Nafnorð	m.	1K									ferðamann	ferðamanni	ferðamanns	ferðamenn	ferðamenn	ferðamönnum	ferðamanna											ferðamaður.mp3	traveller, tourist	турист; мандрівник	іменник
gata	kvk	nv	2588	868	16685	Lögreglan varar við hálku á	götunni	.	Lögreglan varar við hálku á	götunni	.	kaːta	Nafnorð	f.	1K									götu	götu	götu	götur	götur	götum	gatna											gata.mp3	street, path	дорога; вулиця; шлях	іменник
ráðstefna	kvk	nv	2583	869	144370	Samhliða uppboðinu verður haldin	ráðstefna	um íslenska listamenn.	Samhliða uppboðinu verður haldin	ráðstefna	um íslenska listamenn.	rauðstɛpna	Nafnorð	f.	1K									ráðstefnu	ráðstefnu	ráðstefnu	ráðstefnur	ráðstefnur	ráðstefnum	ráðstefna											ráðstefna.mp3	conference	конференція; нарада	іменник
efla	so	s	2582	870.5	434604	Hún hefur reynt að	efla	íslenska leikritun.	Hún hefur reynt að	efla	íslenska leikritun.	ɛpla	Sagnorð	v.	1K	efli	eflir	eflir	efldi	efldir	efldi	eflt																			efla.mp3	strengthen, empower	підтримувати; зміцнювати; заохочувати; популяризувати	дієслово
skilgreina	so	s	2582	870.5	435271	Ekki er enn búið að	skilgreina	áhættuhópana hérlendis.	Ekki er enn búið að	skilgreina	áhættuhópana hérlendis.	scɪlkreina	Sagnorð	v.	1K	skilgreini	skilgreinir	skilgreinir	skilgreindi	skilgreindir	skilgreindi	skilgreint																			skilgreina.mp3	define	визначати	дієслово
hiti	kk	nk	2579	872	7158	Þar hafa verið miklir þurrkar og	hiti	undanfarnar vikur.	Þar hafa verið miklir þurrkar og	hiti	undanfarnar vikur.	hɪːtɪ	Nafnorð	m.	1K									hita	hita	hita	hitar	hita	hitum	hita											hiti.mp3	heat, warmth; fever	спека; тепло; висока температура; жар	іменник
blaðsíða	kvk	nv	2568	873.5	157406	Skýrslan sjálf er rúmar 50	blaðsíður	að lengd.	Skýrslan sjálf er rúmar 50	blaðsíður	að lengd.	plaðsiða	Nafnorð	f.	1K									blaðsíðu	blaðsíðu	blaðsíðu	blaðsíður	blaðsíður	blaðsíðum	blaðsíðna											blaðsíða.mp3	page	сторінка	іменник
listi	kk	nk	2568	873.5	7341	Kosið verður um átta efstu sæti á	lista	Framsóknarflokksins í dag.	Kosið verður um átta efstu sæti á	lista	Framsóknarflokksins í dag.	lɪstɪ	Nafnorð	m.	1K									lista	lista	lista	listar	lista	listum	lista											listi.mp3	list; catalogue	список	іменник
dyr	kvk	nv	2564	875	11107	Leikskólabörnum á Höfn var haldið innan	dyra	í morgun vegna mengunarinnar.	Leikskólabörnum á Höfn var haldið innan	dyra	í morgun vegna mengunarinnar.	tɪːr	Nafnorð	f.	1K												dyr	dyr	dyrum	dyra											dyr.mp3	door	двері	іменник
vona	so	s	2561	876	424294	Hann	vonast	til að Persónuvernd endurskoði afstöðu sína.	Hann	vonast	til að Persónuvernd endurskoði afstöðu sína.	vɔːna	Sagnorð	v.	1K	vona	vonar	vonar	vonaði	vonaðir	vonaði	vonað																			vona.mp3	hope	сподіватися; мати надію на..	дієслово
tilraun	kvk	nv	2558	877	119536		Tilraunir	til að finna þá hafa verið árangurslausar hingað til.		Tilraunir	til að finna þá hafa verið árangurslausar hingað til.	tʰɪlrœin	Nafnorð	f.	1K									tilraun	tilraun	tilraunar	tilraunir	tilraunir	tilraunum	tilrauna											tilraun.mp3	attempt, try; experiment	спроба; експеримент	іменник
laugardagur	kk	nk	2544	878	86947	Við unnum alla daga frá morgni til kvölds nema	laugardaga	.	Við unnum alla daga frá morgni til kvölds nema	laugardaga	.	lœiːɣartaɣʏr	Nafnorð	m.	1K									laugardag	laugardegi	laugardags	laugardagar	laugardaga	laugardögum	laugardaga											laugardagur.mp3	Saturday	субота	іменник
jú	uh	a	2540	879	495406	En	jú	, ég held að það sé heilmikil framtíðarmúsík í þessu.	En	jú	, ég held að það sé heilmikil framtíðarmúsík í þessu.	juː	Upphrópanir	exclam.	1K								jú																		jú.mp3	(in reply to a negative) yes	але так (у разі негативної відповіді)	вигук
skjóta	so	s	2536	880	433642	Íranar	skutu	í dag á loft sínum fyrsta heimasmíða gervihnetti.	Íranar	skutu	í dag á loft sínum fyrsta heimasmíða gervihnetti.	scouːta	Sagnorð	v.	1K	skýt	skýtur	skýtur	skaut	skaust	skaut	skotið																			skjóta.mp3	shoot, hit	стріляти; запускати	дієслово
kveðja	so	s	2531	881	488189	Slökkvilið var	kvatt	á vettvang en þá var bíllinn þegar ónýtur.	Slökkvilið var	kvatt	á vettvang en þá var bíllinn þegar ónýtur.	kʰvɛðja	Sagnorð	v.	1K	kveð	kveður	kveður	kvaddi	kvaddir	kvaddi	kvatt																			kveðja.mp3	say goodbye, see off	прощатися	дієслово
umfjöllun	kvk	nv	2528	882	139569		Umfjöllun	um karlaknattspyrnu var einnig mun fjölbreyttari og lengri.		Umfjöllun	um karlaknattspyrnu var einnig mun fjölbreyttari og lengri.	ʏmfjœtlʏn	Nafnorð	f.	1K									umfjöllun	umfjöllun	umfjöllunar	umfjallanir	umfjallanir	umfjöllunum	umfjallana											umfjöllun.mp3	discussion, deliberation	обговорення; дискусія	іменник
tilkynna	so	s	2524	883	435468		Tilkynnt	var um tvö innbrot á höfuðborgarsvæðinu í nótt.		Tilkynnt	var um tvö innbrot á höfuðborgarsvæðinu í nótt.	tʰɪlcʰɪna	Sagnorð	v.	1K	tilkynni	tilkynnir	tilkynnir	tilkynnti	tilkynntir	tilkynnti	tilkynnt																			tilkynna.mp3	announce, report, notify	повідомляти; сповіщати; інформувати	дієслово
gjarnan	ao	a	2521	884	400696	Hátíðarinnar er	gjarnan	minnst sem þeirrar sögulegustu í tónlistarsögunni.	Hátíðarinnar er	gjarnan	minnst sem þeirrar sögulegustu í tónlistarsögunni.	cartnan	Atviksorð	adv.	1K																								heldur	helst	gjarnan.mp3	certainly, gladly; often	із задоволенням; часто	прислівник
berja	so	s	2518	885	426041	Hún segist nú	berjast	fyrir réttlæti og sannleika á stærra sviði.	Hún segist nú	berjast	fyrir réttlæti og sannleika á stærra sviði.	pɛrja	Sagnorð	v.	1K	ber	berð	ber	barði	barðir	barði	barið																			berja.mp3	beat, thrash; contend	боротися; бити	дієслово
eiginlega	ao	a	2517	886	495253	Það er	eiginlega	ekkert sem bendir til annars.	Það er	eiginlega	ekkert sem bendir til annars.	eijɪnlɛɣa	Atviksorð	adv.	1K								eiginlega																		eiginlega.mp3	actually, basically	насправді; у дійсності	прислівник
skrifstofa	kvk	nv	2512	887	144645	Þessar upplýsingar fengust á	skrifstofu	hans í morgun.	Þessar upplýsingar fengust á	skrifstofu	hans í morgun.	skrɪfstɔva	Nafnorð	f.	1K									skrifstofu	skrifstofu	skrifstofu	skrifstofur	skrifstofur	skrifstofum	skrifstofa											skrifstofa.mp3	office	офіс; бюро	іменник
merkja	so	s	2510	888	435059	Vörur frá þessum framleiðendum eru	merktar	sem Vistvæn landbúnaðarafurð.	Vörur frá þessum framleiðendum eru	merktar	sem Vistvæn landbúnaðarafurð.	mɛr̥ca	Sagnorð	v.	1K	merki	merkir	merkir	merkti	merktir	merkti	merkt																			merkja.mp3	label; mean, denote	маркувати; позначати; помічати	дієслово
alvarlegur	lo	l	2508	889	476993	Ekki er vitað um	alvarleg	tilfelli flensunnar hér á landi.	Ekki er vitað um	alvarleg	tilfelli flensunnar hér á landi.	alvarlɛɣʏr	Lýsingarorð	adj.	1K																					alvarlegur  --  alvarleg -- alvarlegt	alvarlegri -- alvarlegri -- alvarlegra	alvarlegastur -- alvarlegust -- alvarlegast			alvarlegur.mp3	serious	серйозний	прикметник
hreyfing	kvk	nv	2500	890	11606	Fyrir hrun var gríðarleg	hreyfing	á vinnumarkaði.	Fyrir hrun var gríðarleg	hreyfing	á vinnumarkaði.	r̥eiːviŋk	Nafnorð	f.	1K									hreyfingu	hreyfingu	hreyfingar	hreyfingar	hreyfingar	hreyfingum	hreyfinga											hreyfing.mp3	movement	рух	іменник
metri	kk	nk	2492	891	7381	Mest fór vindurinn í 40	metra	á sekúndu við Vatnsskarð eystra.	Mest fór vindurinn í 40	metra	á sekúndu við Vatnsskarð eystra.	mɛːtrɪ	Nafnorð	m.	1K									metra	metra	metra	metrar	metra	metrum	metra											metri.mp3	meter	метр	іменник
endi	kk	nk	2488	892	7037	Þeir marka aðeins upphaf en ekki	endi	.	Þeir marka aðeins upphaf en ekki	endi	.	ɛntɪ	Nafnorð	m.	1K									enda	enda	enda	endar	enda	endum	enda											endi.mp3	end	кінець	іменник
viðhorf	hk	nh	2487	893	36154		Viðhorf	almennings í 24 löndum eru borin saman í þessum könnunum.		Viðhorf	almennings í 24 löndum eru borin saman í þessum könnunum.	vɪθhɔrf	Nafnorð	n.	1K									viðhorf	viðhorfi	viðhorfs	viðhorf	viðhorf	viðhorfum	viðhorfa											viðhorf.mp3	opinion, view; attitude, position	ставлення; позиція; відношення; думка; погляд	іменник
sérfræðingur	kk	nk	2484	894	97642	Erlendir	sérfræðingar	séu dýrir.	Erlendir	sérfræðingar	séu dýrir.	sjɛr̥fraiðiŋkʏr	Nafnorð	m.	1K									sérfræðing	sérfræðingi	sérfræðings	sérfræðingar	sérfræðinga	sérfræðingum	sérfræðinga											sérfræðingur.mp3	specialist, expert	експерт; спеціаліст	іменник
merki	hk	nh	2482	895	2403	Ekki sjást	merki	um gosóróa.	Ekki sjást	merki	um gosóróa.	mɛr̥cɪ	Nafnorð	n.	1K									merki	merki	merkis	merki	merki	merkjum	merkja											merki.mp3	sign; signal; badge	ознак; слід; знак	іменник
lokinn	lo	l	2481	896.5	391085	Almenn bólusetning hefst síðan að þessu	loknu	.	Almenn bólusetning hefst síðan að þessu	loknu	.	lɔːcɪn	Lýsingarorð	adj.	1K																					lokinn  --  lokin -- lokið					lokinn.mp3	finished	завершений	прислівник
net	hk	nh	2481	896.5	2559	Kosningarnar standa í tvær vikur og fara fram í gegnum	netið	.	Kosningarnar standa í tvær vikur og fara fram í gegnum	netið	.	nɛːt	Nafnorð	n.	1K									net	neti	nets	net	net	netum	neta											net.mp3	net; network; Internet	мережа; онлайн; Інтернет	іменник
víst	ao	a	2478	898	402515	Og ég tel alveg	víst	að þetta hafi verið gert hérna.	Og ég tel alveg	víst	að þetta hafi verið gert hérna.	vist	Atviksorð	adv.	1K																									vísast	víst.mp3	probably, apparently, surely	точно; безспірно	прислівник
viðtal	hk	nh	2469	899	66470	Þetta kemur fram í	viðtali	í Fréttablaðinu í dag.	Þetta kemur fram í	viðtali	í Fréttablaðinu í dag.	vɪðtʰal	Nafnorð	n.	1K									viðtal	viðtali	viðtals	viðtöl	viðtöl	viðtölum	viðtala											viðtal.mp3	interview; consultation	інтерв'ю; бесіда; розмова	іменник
afleiðing	kvk	nv	2468	900.5	404162	Hún ók utan í gangavegginn með þeim	afleiðingum	að bíllinn valt.	Hún ók utan í gangavegginn með þeim	afleiðingum	að bíllinn valt.	avleiðiŋk	Nafnorð	f.	1K									afleiðingu	afleiðingu	afleiðingar	afleiðingar	afleiðingar	afleiðingum	afleiðinga											afleiðing.mp3	result, consequence	наслідок; результат	іменник
loka	so	s	2468	900.5	421768	Hins vegar er	lokað	í öðrum sundlaugum á höfuðborgarsvæðinu.	Hins vegar er	lokað	í öðrum sundlaugum á höfuðborgarsvæðinu.	lɔːka	Sagnorð	v.	1K	loka	lokar	lokar	lokaði	lokaðir	lokaði	lokað																			loka.mp3	close, shut	закривати; зачиняти	дієслово
haf	hk	nh	2458	902.5	1462	Það er himinn og	haf	þar á milli.	Það er himinn og	haf	þar á milli.	haːv	Nafnorð	n.	1K									haf	hafi	hafs	höf	höf	höfum	hafa											haf.mp3	sea, ocean	море; океан	іменник
viðbragð	hk	nh	2458	902.5	21452	En það er bara mjög gott að sem flestir sýni	viðbrögð	.	En það er bara mjög gott að sem flestir sýni	viðbrögð	.	vɪðpraɣð	Nafnorð	n.	1K									viðbragð	viðbragði	viðbragðs	viðbrögð	viðbrögð	viðbrögðum	viðbragða											viðbragð.mp3	response, reflex	реакція; ривок	іменник
stuðla	so	s	2452	904	423590	Markmiðið er einfaldlega að	stuðla	að kynjajafnrétti.	Markmiðið er einfaldlega að	stuðla	að kynjajafnrétti.	stʏðla	Sagnorð	v.	1K	stuðla	stuðlar	stuðlar	stuðlaði	stuðlaðir	stuðlaði	stuðlað																			stuðla.mp3	alliterate	покращити; допомагати	дієслово
biskup	kk	nk	2451	905	5627		Biskup	ræddi um mikilvægi Hjálparstarfs kirkjunnar í setningarræðu sinni.		Biskup	ræddi um mikilvægi Hjálparstarfs kirkjunnar í setningarræðu sinni.	pɪskʏp	Nafnorð	m.	1K									biskup	biskupi	biskups	biskupar	biskupa	biskupum	biskupa											biskup.mp3	bishop	єпископ	іменник
þaðan	ao	a	2446	906	495854		Þaðan	stal þjófurinn talsverðu af tóbaki.		Þaðan	stal þjófurinn talsverðu af tóbaki.	θaːðan	Atviksorð	adv.	1K								þaðan																		þaðan.mp3	from there, thereof	звідти	прислівник
ráðuneyti	hk	nh	2445	907	52813		Ráðuneytið	tók sér hins tæpan mánuð í að svara blaðinu.		Ráðuneytið	tók sér hins tæpan mánuð í að svara blaðinu.	rauːðʏneitɪ	Nafnorð	n.	1K									ráðuneyti	ráðuneyti	ráðuneytis	ráðuneyti	ráðuneyti	ráðuneytum	ráðuneyta											ráðuneyti.mp3	ministry, department	міністерство; відомство; департамент	іменник
drengur	kk	nk	2443	908	6835	Talsvert líklegt er að stúlkur fái svona póst en	drengir	.	Talsvert líklegt er að stúlkur fái svona póst en	drengir	.	treiŋkʏr	Nafnorð	m.	1K									dreng	dreng	drengs	drengir	drengi	drengjum	drengja											drengur.mp3	boy, lad	хлопець	іменник
eyða	so	s	2441	909	434646	Ég	eyddi	nú nóttinni í að lesa þessi gögn.	Ég	eyddi	nú nóttinni í að lesa þessi gögn.	eiːða	Sagnorð	v.	1K	eyði	eyðir	eyðir	eyddi	eyddir	eyddi	eytt																			eyða.mp3	exterminate; delete; spend	проводити; витрачати	дієслово
drekka	so	s	2438	910	434196	Samkvæmt íslenskum lögum er bannað að	drekka	áfengi á almannafæri.	Samkvæmt íslenskum lögum er bannað að	drekka	áfengi á almannafæri.	trɛhka	Sagnorð	v.	1K	drekk	drekkur	drekkur	drakk	drakkst	drakk	drukkið																			drekka.mp3	drink	пити; вживати алкоголь	дієслово
kaldur	lo	l	2436	911	409061	Þeir voru þá blautir og	kaldir	.	Þeir voru þá blautir og	kaldir	.	kʰaltʏr	Lýsingarorð	adj.	1K																					kaldur  --  köld -- kalt	kaldari -- kaldari -- kaldara	kaldastur -- köldust -- kaldast			kaldur.mp3	cold	холодний	прикметник
menning	kvk	nv	2433	912	11788	Tilgangurinn er að kynna norrænar matarvenjur og	menningu	Norðurlanda fyrir börnunum.	Tilgangurinn er að kynna norrænar matarvenjur og	menningu	Norðurlanda fyrir börnunum.	mɛniŋk	Nafnorð	f.	1K									menningu	menningu	menningar	menningar	menningar	menningum	menninga											menning.mp3	cilvilization, culture	культура; цивілізація	іменник
pólitískur	lo	l	2431	913	408740	Mín skoðun er sú að þetta er	pólitískt	vandamál.	Mín skoðun er sú að þetta er	pólitískt	vandamál.	pʰouːlɪtʰiskʏr	Lýsingarorð	adj.	1K																					pólitískur  --  pólitísk -- pólitískt	pólitískari -- pólitískari -- pólitískara	pólitískastur -- pólitískust -- pólitískast			pólitískur.mp3	political	політичний	прикметник
borga	so	s	2430	914.5	419633	Hún	borgaði	tæpar 34 milljónir í skatt.	Hún	borgaði	tæpar 34 milljónir í skatt.	pɔrka	Sagnorð	v.	1K	borga	borgar	borgar	borgaði	borgaðir	borgaði	borgað																			borga.mp3	pay	платити	дієслово
tungumál	hk	nh	2430	914.5	49249	Til samanburðar , það eru 21	tungumál	töluð innan Evrópusambandsins.	Til samanburðar , það eru 21	tungumál	töluð innan Evrópusambandsins.	tʰuŋkʏmaul	Nafnorð	n.	1K									tungumál	tungumáli	tungumáls	tungumál	tungumál	tungumálum	tungumála											tungumál.mp3	language	мова	іменник
hlaupa	so	s	2426	916	434248	Vitni sá ungan mann	hlaupa	af vettvangi.	Vitni sá ungan mann	hlaupa	af vettvangi.	l̥œiːpa	Sagnorð	v.	1K	hleyp	hleypur	hleypur	hljóp	hljópst	hljóp	hlaupið																			hlaupa.mp3	run; shrink (clothes in the wash); flood (rivers)	бігти; втікати	дієслово
réttindi	hk	nh	2423	917.5	2928	Því hafi stjórn sjóðsins ákveðið að halda	réttindum	og lífeyri óbreyttum.	Því hafi stjórn sjóðsins ákveðið að halda	réttindum	og lífeyri óbreyttum.	rjɛhtɪntɪ	Nafnorð	n.	1K												réttindi	réttindi	réttindum	réttinda											réttindi.mp3	rights; license	права; ліцензія	іменник
unglingur	kk	nk	2423	917.5	6623	Nærri 70% barna og	unglinga	í Reykjavík nýta kortin.	Nærri 70% barna og	unglinga	í Reykjavík nýta kortin.	uŋliŋkʏr	Nafnorð	m.	1K									ungling	unglingi	unglings	unglingar	unglinga	unglingum	unglinga											unglingur.mp3	teenager, youth	підліток; молодь	іменник
lína	kvk	nv	2414	919.5	393392	Nauðsynlegt sé fyrir alla aðila að fá skýrar	línur	um framhaldið.	Nauðsynlegt sé fyrir alla aðila að fá skýrar	línur	um framhaldið.	liːna	Nafnorð	f.	1K									línu	línu	línu	línur	línur	línum	lína											lína.mp3	line	лінія	іменник
