lemma	bin_tag	mim_tag	freq	rank	ind	pre_kw_orig	kw_orig	post_kw_orig	pre_kw	kw	post_kw	ipa_sd	full_cat	bin_tag_en	tier	verb_1st_pres	verb_2nd_pres	verb_3rd_pres	verb_1st_past	verb_2nd_past	verb_3rd_past	verb_lh_þt	OBEYGJANLEGT	ÞFET	ÞGFET	EFET	NFFT	ÞFFT	ÞGFFT	EFFT	ft	et	ÞF	ÞGF	EF	lo.fst	lo.mst	lo.est	MST	EST	pronounce	manual_pl	full_cat_pl
mikið	ao	a	9316	295	416528	Þessi tala hefur ekki breyst	mikið	síðustu vikur.	Þessi tala hefur ekki breyst	mikið	síðustu vikur.	mɪːcɪð	Atviksorð	adv.	1K																								meira	mest	mikið.mp3	dużo	przysłówek
utan	fs	a	9316	295	495340	Innflytjendum frá löndum	utan	Norðurlanda fjölgaði ört eftir 1990.	Innflytjendum frá löndum	utan	Norðurlanda fjölgaði ört eftir 1990.	ʏːtan	Forsetning	prep.	1K								utan																		utan.mp3	na zewnątrz; poza	przyimek
aðili	kk	nk	9274	297	9743	Bæði félögin eru í eigu sömu	aðila	.	Bæði félögin eru í eigu sömu	aðila	.	aːðɪlɪ	Nafnorð	m.	1K									aðila	aðila	aðila	aðilar	aðila	aðilum	aðila											aðili.mp3	właściciel, partia, osoba	rzeczownik
sumur	fn	fo	9219	298	478783	Að sögn lögreglu voru	sumir	órólegir.	Að sögn lögreglu voru	sumir	órólegir.	sʏːmʏr	Fornafn	pron.	1K																sumir -- sumar -- sum	sumur  --  sum -- sumt									sumur.mp3	niektórzy	zaimek
ákveða	so	s	9191	299	434182	Þetta var	ákveðið	á ríkisstjórnarfundi í morgun.	Þetta var	ákveðið	á ríkisstjórnarfundi í morgun.	auːkʰvɛða	Sagnorð	v.	1K	ákveð	ákveður	ákveður	ákvað	ákvaðst	ákvað	ákveðið																			ákveða.mp3	zdecydować	czasownik
líða	so	s	9125	300	466771	Sjóðurinn verður því líklegast orðinn tómur þegar	líður	á haustið.	Sjóðurinn verður því líklegast orðinn tómur þegar	líður	á haustið.	liːða	Sagnorð	v.	1K	líð	líður	líður	leið	leiðst	leið	liðið																			líða.mp3	trwać; minąć	czasownik
sérstaklega	ao	a	9081	301	497964	Bíllinn mun hafa verið	sérstaklega	búinn undir smyglið.	Bíllinn mun hafa verið	sérstaklega	búinn undir smyglið.	sjɛr̥staklɛɣa	Atviksorð	adv.	1K								sérstaklega																		sérstaklega.mp3	szczególnie	przysłówek
horfa	so	s	9078	302	434872	Þannig að ég	horfi	mjög björtum augum til framtíðarinnar.	Þannig að ég	horfi	mjög björtum augum til framtíðarinnar.	hɔrva	Sagnorð	v.	1K	horfi	horfir	horfir	horfði	horfðir	horfði	horft																			horfa.mp3	oglądać	czasownik
fela	so	s	9076	303	433022	Við	felum	langt yfir 1.000 páskaegg.	Við	felum	langt yfir 1.000 páskaegg.	fɛːla	Sagnorð	v.	1K	fel	felur	felur	faldi	faldir	faldi	falið																			fela.mp3	ukryć, chować	czasownik
þarna	ao	a	9059	304	495858	Ég tel að	þarna	mætti ríkja meiri ábyrgð og meiri samkennd.	Ég tel að	þarna	mætti ríkja meiri ábyrgð og meiri samkennd.	θartna	Atviksorð	adv.	1K								þarna																		þarna.mp3	tam	przysłówek
fyrri	lo	l	8999	305	435693	Hann var til dæmis í fjórða sæti allt árið í	fyrra	.	Hann var til dæmis í fjórða sæti allt árið í	fyrra	.	fɪrɪ	Lýsingarorð	adj.	1K																					fyrri  --	fyrri -- fyrri -- fyrra				fyrri.mp3	poprzedni	przymiotnik
jafnvel	ao	a	8903	306	497251	Húsið er mjög illa farið ,	jafnvel	ónýtt.	Húsið er mjög illa farið ,	jafnvel	ónýtt.	japvɛl	Atviksorð	adv.	1K								jafnvel																		jafnvel.mp3	nawet	przysłówek
hvaða	fn	fs	8897	307.5	478804	Ekki er vitað	hvaða	áhrif brennisteinsvetni getur haft á heilsu fólks.	Ekki er vitað	hvaða	áhrif brennisteinsvetni getur haft á heilsu fólks.	kʰvaːða	Fornafn	pron.	1K																hvaða -- hvaða -- hvaða	hvaða  --  hvaða -- hvaða									hvaða.mp3	który	zaimek
hugsa	so	s	8888	309	424604	Það sé skelfilegt að	hugsa	til þess.	Það sé skelfilegt að	hugsa	til þess.	hʏksa	Sagnorð	v.	1K	hugsa	hugsar	hugsar	hugsaði	hugsaðir	hugsaði	hugsað																			hugsa.mp3	myśleć	czasownik
kaupa	so	s	8871	310	435698	Fáeinum mánuðum síðar	keyptu	þau þakíbúð í glæsihúsinu og sameinuðu eignirnar.	Fáeinum mánuðum síðar	keyptu	þau þakíbúð í glæsihúsinu og sameinuðu eignirnar.	kʰœiːpa	Sagnorð	v.	1K	kaupi	kaupir	kaupir	keypti	keyptir	keypti	keypt																			kaupa.mp3	kupić	czasownik
senda	so	s	8833	311	434413	Bréf hans er	sent	til fjölmiðla á ellefta tímanum í morgun.	Bréf hans er	sent	til fjölmiðla á ellefta tímanum í morgun.	sɛnta	Sagnorð	v.	1K	sendi	sendir	sendir	sendi	sendir	sendi	sent																			senda.mp3	wysłać	czasownik
fjalla	so	s	8829	312	420052	Við	fjöllum	nánar um málið í fréttum okkar í kvöld.	Við	fjöllum	nánar um málið í fréttum okkar í kvöld.	fjatla	Sagnorð	v.	1K	fjalla	fjallar	fjallar	fjallaði	fjallaðir	fjallaði	fjallað																			fjalla.mp3	omówić	czasownik
stofnun	kvk	nv	8780	313	393715	Á meðan eru handritin geymd í aðstöðu	stofnunarinnar	í Árnagarði.	Á meðan eru handritin geymd í aðstöðu	stofnunarinnar	í Árnagarði.	stɔpnʏn	Nafnorð	f.	1K									stofnun	stofnun	stofnunar	stofnanir	stofnanir	stofnunum	stofnana											stofnun.mp3	instytucja	rzeczownik
kynna	so	s	8755	314	435001	Nýir ráðherrar verða væntanlega	kynntir	til sögunnar.	Nýir ráðherrar verða væntanlega	kynntir	til sögunnar.	cʰɪna	Sagnorð	v.	1K	kynni	kynnir	kynnir	kynnti	kynntir	kynnti	kynnt																			kynna.mp3	przedstawiać	czasownik
vika	kvk	nv	8690	315	16667	Kosningarnar standa í tvær	vikur	og fara fram í gegnum netið.	Kosningarnar standa í tvær	vikur	og fara fram í gegnum netið.	vɪːka	Nafnorð	f.	1K									viku	viku	viku	vikur	vikur	vikum	vikna											vika.mp3	tydzień	rzeczownik
þekkja	so	s	8688	316	435622	Ekki er vitað hvort fólkið	þekkti	íbúann.	Ekki er vitað hvort fólkið	þekkti	íbúann.	θɛhca	Sagnorð	v.	1K	þekki	þekkir	þekkir	þekkti	þekktir	þekkti	þekkt																			þekkja.mp3	wiedzieć; rozpoznać	czasownik
sækja	so	s	8683	317	435701	Til að mynda	sótti	enginn um starfið í fyrstu atrennu.	Til að mynda	sótti	enginn um starfið í fyrstu atrennu.	saiːca	Sagnorð	v.	1K	sæki	sækir	sækir	sótti	sóttir	sótti	sótt																			sækja.mp3	odbierać	czasownik
auga	hk	nh	8578	318	4315	Hann er grannvaxinn , svarthærður og með brúnleit	augu	.	Hann er grannvaxinn , svarthærður og með brúnleit	augu	.	œiːɣa	Nafnorð	n.	1K									auga	auga	auga	augu	augu	augum	augna											auga.mp3	oko	rzeczownik
krafa	kvk	nv	8524	319	16463		Kröfur	í félagið nema um 49 milljörðum króna.		Kröfur	í félagið nema um 49 milljörðum króna.	kʰraːva	Nafnorð	f.	1K									kröfu	kröfu	kröfu	kröfur	kröfur	kröfum	krafna											krafa.mp3	wymaganie	rzeczownik
skóli	kk	nk	8519	320	7571	Hann er ekki nemandi í	skólanum	.	Hann er ekki nemandi í	skólanum	.	skouːlɪ	Nafnorð	m.	1K									skóla	skóla	skóla	skólar	skóla	skólum	skóla											skóli.mp3	szkoła	rzeczownik
fjórir	to	t	8505	322	403791	Flugvélin kostar um	fjóra	milljarða króna.	Flugvélin kostar um	fjóra	milljarða króna.	fjouːrɪr	Töluorð	num.	1K																fjórir -- fjórar -- fjögur	fjórir  --									fjórir.mp3	cztery	liczebnik
samband	hk	nh	8504	324	18415	Hann hefur sett sig í	samband	við lögfræðing vegna málsins.	Hann hefur sett sig í	samband	við lögfræðing vegna málsins.	sampant	Nafnorð	n.	1K									samband	sambandi	sambands	sambönd	sambönd	samböndum	sambanda											samband.mp3	połączenie ;związek; unia	rzeczownik
nærri	fs	a	8492	325.5	495313	Skipið hvarf á Ermarsundi fyrir	nærri	þremur vikum.	Skipið hvarf á Ermarsundi fyrir	nærri	þremur vikum.	nairɪ	Forsetning	prep.	1K								nærri																		nærri.mp3	blisko	przyimek
hugmynd	kvk	nv	8473	327	119163	Sú	hugmynd	hefur verið kynnt ráðherrum ríkisstjórnar.	Sú	hugmynd	hefur verið kynnt ráðherrum ríkisstjórnar.	hʏɣmɪnt	Nafnorð	f.	1K									hugmynd	hugmynd	hugmyndar	hugmyndir	hugmyndir	hugmyndum	hugmynda											hugmynd.mp3	pomysł	rzeczownik
ljúka	so	s	8471	328	466775	Kosningunni	lýkur	á hádegi á morgun.	Kosningunni	lýkur	á hádegi á morgun.	ljuːka	Sagnorð	v.	1K	lýk	lýkur	lýkur	lauk	laukst	lauk	lokið																			ljúka.mp3	zakończyć	czasownik
staða	kvk	nv	8406	329	16472	Menn vilja hinsvegar ekkert segja efnislegt um	stöðu	mála.	Menn vilja hinsvegar ekkert segja efnislegt um	stöðu	mála.	staːða	Nafnorð	f.	1K									stöðu	stöðu	stöðu	stöður	stöður	stöðum	staðna											staða.mp3	sytuacja; stanowisko, pozycja	rzeczownik
tengja	so	s	8341	330	435459	Allir mennirnir eru taldir	tengjast	málinu á einn eða annan hátt.	Allir mennirnir eru taldir	tengjast	málinu á einn eða annan hátt.	tʰeiɲca	Sagnorð	v.	1K	tengi	tengir	tengir	tengdi	tengdir	tengdi	tengt																			tengja.mp3	połączyć	czasownik
svið	hk	nh	8323	331	3683	Þannig eykst svigrúm til þess að gera betur á öllum	sviðum	.	Þannig eykst svigrúm til þess að gera betur á öllum	sviðum	.	svɪːð	Nafnorð	n.	1K									svið	sviði	sviðs	svið	svið	sviðum	sviða											svið.mp3	etap, scena; temat, kierunek (studiów)	rzeczownik
snúa	so	s	8319	332	425151	Vandamálið	snýst	um plássleysi.	Vandamálið	snýst	um plássleysi.	stnuːa	Sagnorð	v.	1K	sný	snýrð	snýr	sneri	snerir	sneri	snúið																			snúa.mp3	odwrócić, skręcić; kręcić	czasownik
samningur	kk	nk	8265	333	6656	Hún vill láta endurskoða	samninginn	.	Hún vill láta endurskoða	samninginn	.	samniŋkʏr	Nafnorð	m.	1K									samning	samningi	samnings	samningar	samninga	samningum	samninga											samningur.mp3	kontrakt	rzeczownik
svar	hk	nh	8193	334	3669	Enn hafa hins vegar engin	svör	borist.	Enn hafa hins vegar engin	svör	borist.	svaːr	Nafnorð	n.	1K									svar	svari	svars	svör	svör	svörum	svara											svar.mp3	odpowiedź	rzeczownik
leikur	kk	nk	8157	335	5756	Hópurinn undirbýr nú för til Spánar en hluti	leiksins	gerist þar.	Hópurinn undirbýr nú för til Spánar en hluti	leiksins	gerist þar.	leiːkʏr	Nafnorð	m.	1K									leik	leik	leiks	leikir	leiki	leikjum	leikja											leikur.mp3	gra; aktorstwo	rzeczownik
fremur	ao	a	8133	336.5	508831	Söfnunin hafi þó farið	fremur	hægt af stað.	Söfnunin hafi þó farið	fremur	hægt af stað.	frɛːmʏr	Atviksorð	adv.	1K																								fremur	fremst	fremur.mp3	raczej	przysłówek
nafn	hk	nh	8132	338	2520	Eignin var skráð á	nafn	eiginkonu hans í júlí 2006.	Eignin var skráð á	nafn	eiginkonu hans í júlí 2006.	napn̥	Nafnorð	n.	1K									nafn	nafni	nafns	nöfn	nöfn	nöfnum	nafna											nafn.mp3	imię	rzeczownik
fullur	lo	l	8129	339	406896	Þeir hafa	fullan	skilning á því.	Þeir hafa	fullan	skilning á því.	fʏtlʏr	Lýsingarorð	adj.	1K																					fullur  --  full -- fullt	fyllri -- fyllri -- fyllra	fyllstur -- fyllst -- fyllst			fullur.mp3	pełny; pijany	przymiotnik
ákveðinn	lo	l	8113	340	172158	Bólusetning er hafin í áhættuhópum á	ákveðnum	stöðum á landinu.	Bólusetning er hafin í áhættuhópum á	ákveðnum	stöðum á landinu.	auːkʰvɛðɪn	Lýsingarorð	adj.	1K																					ákveðinn  --  ákveðin -- ákveðið	ákveðnari -- ákveðnari -- ákveðnara	ákveðnastur -- ákveðnust -- ákveðnast			ákveðinn.mp3	pewien, określony; zdecydowane, stanowczy	przymiotnik
lýsa	so	s	8103	341	435042	Hann	lýsti	þessu yfir á borgarafundi í Háskólabíói í gærkvöldi.	Hann	lýsti	þessu yfir á borgarafundi í Háskólabíói í gærkvöldi.	liːsa	Sagnorð	v.	1K	lýsi	lýsir	lýsir	lýsti	lýstir	lýsti	lýst																			lýsa.mp3	oświetlić; pokazać, manifestować; opisać	czasownik
mynda	so	s	8057	342	424673	Til að	mynda	sótti enginn um starfið í fyrstu atrennu.	Til að	mynda	sótti enginn um starfið í fyrstu atrennu.	mɪnta	Sagnorð	v.	1K	mynda	myndar	myndar	myndaði	myndaðir	myndaði	myndað																			mynda.mp3	tworzyć; fotografować, robić zdjęcie	czasownik
þúsund	to	t	8046	344	488615	Um 70	þúsund	manns greiddu atkvæði.	Um 70	þúsund	manns greiddu atkvæði.	θuːsʏnt	Töluorð	num.	1K								þúsund																		þúsund.mp3	tysiąc	liczebnik
leyti	hk	nh	8044	346	2253	Slökkviliðinu barst tilkynning um eldinn um hálf ellefu	leytið	í gærkvöldi.	Slökkviliðinu barst tilkynning um eldinn um hálf ellefu	leytið	í gærkvöldi.	leiːtɪ	Nafnorð	n.	1K									leyti	leyti	leytis															leyti.mp3	zakres, czas, pora	rzeczownik
ástæða	kvk	nv	8041	347	158647		Ástæðan	er sú að okkur skortir traust.		Ástæðan	er sú að okkur skortir traust.	auːstaiða	Nafnorð	f.	1K									ástæðu	ástæðu	ástæðu	ástæður	ástæður	ástæðum	ástæðna											ástæða.mp3	przyczyna, motyw, powód	rzeczownik
flokkur	kk	nk	8014	348	6471		Flokkurinn	fékk sex þingmenn í kjördæminu í síðustu kosningum.		Flokkurinn	fékk sex þingmenn í kjördæminu í síðustu kosningum.	flɔhkʏr	Nafnorð	m.	1K									flokk	flokki	flokks	flokkar	flokka	flokkum	flokka											flokkur.mp3	grupa, partia; Kategoria; klasa	rzeczownik
kostur	kk	nk	8013	349	5669	Nefndin kemur saman að minnsta	kosti	þrisvar í dag vegna málsins.	Nefndin kemur saman að minnsta	kosti	þrisvar í dag vegna málsins.	kʰɔstʏr	Nafnorð	m.	1K									kost	kosti	kostar	kostir	kosti	kostum	kosta											kostur.mp3	alternatywa, wybór; korzyść	rzeczownik
hljóta	so	s	8005	350	433632	Hann	hlaut	meistarapróf í hagfræði frá Oslóarháskóla árið 1985.	Hann	hlaut	meistarapróf í hagfræði frá Oslóarháskóla árið 1985.	l̥jouːta	Sagnorð	v.	1K	hlýt	hlýtur	hlýtur	hlaut	hlaust	hlaut	hlotið																			hljóta.mp3	musieć	czasownik
byrja	so	s	7999	351	424486	Við ætlum að	byrja	klukkan tólf og enda klukkan fjögur.	Við ætlum að	byrja	klukkan tólf og enda klukkan fjögur.	pɪrja	Sagnorð	v.	1K	byrja	byrjar	byrjar	byrjaði	byrjaðir	byrjaði	byrjað																			byrja.mp3	zacząć	czasownik
stjórn	kvk	nv	7997	352	10528	Hann hafnaði boði um að verða stjórnarformaður nýrrar	stjórnar	.	Hann hafnaði boði um að verða stjórnarformaður nýrrar	stjórnar	.	stjourtn̥	Nafnorð	f.	1K									stjórn	stjórn	stjórnar	stjórnir	stjórnir	stjórnum	stjórna											stjórn.mp3	kierownictwo; rządzenie; rząd	rzeczownik
miða	so	s	7981	353	424654	Sóttvarnalæknir segir smittíðni flensunnar á Íslandi háa	miðað	við höfðatölu.	Sóttvarnalæknir segir smittíðni flensunnar á Íslandi háa	miðað	við höfðatölu.	mɪːða	Sagnorð	v.	1K	miða	miðar	miðar	miðaði	miðaðir	miðaði	miðað																			miða.mp3	celować	czasownik
vinna	kvk	nv	7962	354	15449	Erlendir ríkisborgarar missa	vinnuna	hér á landi ekkert síður en innfæddir.	Erlendir ríkisborgarar missa	vinnuna	hér á landi ekkert síður en innfæddir.	vɪna	Nafnorð	f.	1K									vinnu	vinnu	vinnu															vinna.mp3	praca, wygrać	rzeczownik
lesa	so	s	7961	355	433588	Ég eyddi nú nóttinni í að	lesa	þessi gögn.	Ég eyddi nú nóttinni í að	lesa	þessi gögn.	lɛːsa	Sagnorð	v.	1K	les	lest	les	las	last	las	lesið																			lesa.mp3	czytać	czasownik
ásamt	fs	a	7915	356.5	495276	Hann	ásamt	fimm hundruð öðrum björgunarsveitarmönnum leitar nú að Birnu.	Hann	ásamt	fimm hundruð öðrum björgunarsveitarmönnum leitar nú að Birnu.	auːsam̥t	Forsetning	prep.	1K								ásamt																		ásamt.mp3	razem z	przyimek
svara	so	s	7908	358	423677	Um 850 einstaklingar	svöruðu	könnuninni.	Um 850 einstaklingar	svöruðu	könnuninni.	svaːra	Sagnorð	v.	1K	svara	svarar	svarar	svaraði	svaraðir	svaraði	svarað																			svara.mp3	odpowiedź	czasownik
regla	kvk	nv	7859	359	16322	Hann vilji virða þær	reglur	.	Hann vilji virða þær	reglur	.	rɛkla	Nafnorð	f.	1K									reglu	reglu	reglu	reglur	reglur	reglum	reglna											regla.mp3	reguła, porządek	rzeczownik
stundum	ao	a	7856	360	495777	Þeir eiga	stundum	erfitt með að heyra sannleikann.	Þeir eiga	stundum	erfitt með að heyra sannleikann.	stʏntʏm	Atviksorð	adv.	1K								stundum																		stundum.mp3	czasami	przysłówek
munur	kk	nk	7824	361	5645	Þetta er meira en fjórfaldur	munur	.	Þetta er meira en fjórfaldur	munur	.	mʏːnʏr	Nafnorð	m.	1K									mun	mun	munar	munir	muni	munum	muna											munur.mp3	różnica	rzeczownik
þjónusta	kvk	nv	7750	362	416171	Hún segir breytingarnar ekki þýða skerta	þjónustu	neyðarmóttökunnar.	Hún segir breytingarnar ekki þýða skerta	þjónustu	neyðarmóttökunnar.	θjouːnʏsta	Nafnorð	f.	1K									þjónustu	þjónustu	þjónustu	þjónustur	þjónustur	þjónustum	þjónusta											þjónusta.mp3	usługa	rzeczownik
skoða	so	s	7726	363	422940	Lögregla	skoðar	nú myndir úr eftirlitsmyndavélum verslunarinnar.	Lögregla	skoðar	nú myndir úr eftirlitsmyndavélum verslunarinnar.	skɔːða	Sagnorð	v.	1K	skoða	skoðar	skoðar	skoðaði	skoðaðir	skoðaði	skoðað																			skoða.mp3	obserwować; sprawdzić, badać	czasownik
umræða	kvk	nv	7689	364	154977	Nú stendur yfir	umræða	og afgreiðsla tillagna málefnanefndanna.	Nú stendur yfir	umræða	og afgreiðsla tillagna málefnanefndanna.	ʏmraiða	Nafnorð	f.	1K									umræðu	umræðu	umræðu	umræður	umræður	umræðum	umræðna											umræða.mp3	dyskusja	rzeczownik
fjölskylda	kvk	nv	7646	365	158567	Boðið verður upp á skemmtidagskrá fyrir	fjölskylduna	alla opnunardagana.	Boðið verður upp á skemmtidagskrá fyrir	fjölskylduna	alla opnunardagana.	fjœlscɪlta	Nafnorð	f.	1K									fjölskyldu	fjölskyldu	fjölskyldu	fjölskyldur	fjölskyldur	fjölskyldum	fjölskyldna											fjölskylda.mp3	rodzina	rzeczownik
meðan	st	c	7550	366	495366	Á	meðan	eru handritin geymd í aðstöðu stofnunarinnar í Árnagarði.	Á	meðan	eru handritin geymd í aðstöðu stofnunarinnar í Árnagarði.	mɛːðan	Samtenging	conj.	1K								meðan																		meðan.mp3	podczas	spójnik
vatn	hk	nh	7500	367	3976	Fyrir mistök komst heitt	vatn	í samband við ammoníak.	Fyrir mistök komst heitt	vatn	í samband við ammoníak.	vahtn̥	Nafnorð	n.	1K									vatn	vatni	vatns	vötn	vötn	vötnum	vatna											vatn.mp3	woda; jezioro	rzeczownik
samt	ao	a	7491	368	495736	En það er	samt	bara ofsalega fallegt veður.	En það er	samt	bara ofsalega fallegt veður.	sam̥t	Atviksorð	adv.	1K								samt																		samt.mp3	nadal, wciąż, mimo to	przysłówek
foreldrar	kk	nk	7460	369	9735	Drengurinn var færður á lögreglustöð og	foreldrum	gert að sækja hann.	Drengurinn var færður á lögreglustöð og	foreldrum	gert að sækja hann.	fɔːrɛltrar	Nafnorð	m.	1K												foreldrar	foreldra	foreldrum	foreldra											foreldrar.mp3	rodzice	rzeczownik
réttur	lo	l	7436	370	166155	Við viljum fá	réttar	upplýsingar.	Við viljum fá	réttar	upplýsingar.	rjɛhtʏr	Lýsingarorð	adj.	1K																					réttur  --  rétt -- rétt	réttari -- réttari -- réttara	réttastur -- réttust -- réttast			réttur.mp3	prawidłowy; legalny	przymiotnik
fjöldi	kk	nk	7403	371	8649		Fjöldi	erlendra fjárfesta hefur áhuga á Íslandi en skilar sér ekki.		Fjöldi	erlendra fjárfesta hefur áhuga á Íslandi en skilar sér ekki.	fjœltɪ	Nafnorð	m.	1K									fjölda	fjölda	fjölda															fjöldi.mp3	wiele; tłum	rzeczownik
birta	so	s	7369	372	427523	Skýrsla um málið var	birt	í gær.	Skýrsla um málið var	birt	í gær.	pɪr̥ta	Sagnorð	v.	1K	birti	birtir	birtir	birti	birtir	birti	birt																			birta.mp3	ujawnić, opublikować, wydać	czasownik
kveða	so	s	7328	373	466762	Aðspurður	kvaðst	ökumaðurinn vera á leið til Hafnarfjarðar.	Aðspurður	kvaðst	ökumaðurinn vera á leið til Hafnarfjarðar.	kʰvɛːða	Sagnorð	v.	1K	kveð	kveður	kveður	kvað	kvaðst	kvað	kveðið																			kveða.mp3	komponować, pisać, tworzyć; śpiewać; powiedzieć, mówić	czasownik
lok	hk	nh	7293	374	2294	Hann segir að sannleikurinn muni sigra að	lokum	.	Hann segir að sannleikurinn muni sigra að	lokum	.	lɔːk	Nafnorð	n.	1K									lok	loki	loks	lok	lok	lokum	loka											lok.mp3	pokrywkan; koniec	rzeczownik
báðir	fn	fo	7291	375	484919		Báðir	bílarnir eru ónýtir en farþegarnir sluppu ómeiddir að mestu.		Báðir	bílarnir eru ónýtir en farþegarnir sluppu ómeiddir að mestu.	pauːðɪr	Fornafn	pron.	1K																báðir -- báðar -- bæði	báðir  --									báðir.mp3	obaj	zaimek
stefna	so	s	7279	376	435383		Stefnt	er að því söluferlið taki stuttan tíma.		Stefnt	er að því söluferlið taki stuttan tíma.	stɛpna	Sagnorð	v.	1K	stefni	stefnir	stefnir	stefndi	stefndir	stefndi	stefnt																			stefna.mp3	oskarżyć, zmierzać	czasownik
leika	so	s	7258	377	466767	Það var svo þungarokkshljómsveitin Dark Harvest sem	lék	fyrir gesti.	Það var svo þungarokkshljómsveitin Dark Harvest sem	lék	fyrir gesti.	leiːka	Sagnorð	v.	1K	leik	leikur	leikur	lék	lékst	lék	leikið																			leika.mp3	grać, bawić	czasownik
erlendur	lo	l	7255	378	412795		Erlendir	sérfræðingar séu dýrir.		Erlendir	sérfræðingar séu dýrir.	ɛrlɛntʏr	Lýsingarorð	adj.	1K																					erlendur  --  erlend -- erlent					erlendur.mp3	zagraniczny	przymiotnik
auðvitað	ao	a	7250	379	495927	Og þetta er	auðvitað	verulegur kostnaður fyrir heimilin í landinu.	Og þetta er	auðvitað	verulegur kostnaður fyrir heimilin í landinu.	œiðvɪtað	Atviksorð	adv.	1K								auðvitað																		auðvitað.mp3	oczywiście	przysłówek
raun	kvk	nv	7194	380	10390	Hann hefði í	raun	beitt þjóð og þing blekkingum.	Hann hefði í	raun	beitt þjóð og þing blekkingum.	rœiːn	Nafnorð	f.	1K									raun	raun	raunar	raunir	raunir	raunum	rauna											raun.mp3	prawda, w istocie	rzeczownik
ákvæði	hk	nh	7191	381	428194	Deilt er um hvort	ákvæði	í frumvarpinu standist stjórnarskrá.	Deilt er um hvort	ákvæði	í frumvarpinu standist stjórnarskrá.	auːkʰvaiðɪ	Nafnorð	n.	1K									ákvæði	ákvæði	ákvæðis	ákvæði	ákvæði	ákvæðum	ákvæða											ákvæði.mp3	klaus, klauzula	rzeczownik
ákvörðun	kvk	nv	7183	382	138727	Bankinn taki sjálfur slíkar	ákvarðanir	en sjóðurinn veitti aðeins ráðgjöf.	Bankinn taki sjálfur slíkar	ákvarðanir	en sjóðurinn veitti aðeins ráðgjöf.	auːkʰvœrðʏn	Nafnorð	f.	1K									ákvörðun	ákvörðun	ákvörðunar	ákvarðanir	ákvarðanir	ákvörðunum	ákvarðana											ákvörðun.mp3	decyzja	rzeczownik
hár	lo	l	7168	383	408593	Ekki hefur enn verið ákveðið hversu	há	sektin verður.	Ekki hefur enn verið ákveðið hversu	há	sektin verður.	hauːr	Lýsingarorð	adj.	1K																					hár  --  há -- hátt	hærri -- hærri -- hærra	hæstur -- hæst -- hæst			hár.mp3	wysoki, głośny	przymiotnik
ferð	kvk	nv	7160	384	10573	Uppselt er í allar	ferðir	.	Uppselt er í allar	ferðir	.	fɛrð	Nafnorð	f.	1K									ferð	ferð	ferðar	ferðir	ferðir	ferðum	ferða											ferð.mp3	podróż	rzeczownik
þinn	fn	fe	7091	385	478794	Þetta hljómar nú kannski ekki sem fagnaðarsöngur í	þínum	eyrum.	Þetta hljómar nú kannski ekki sem fagnaðarsöngur í	þínum	eyrum.	θɪn	Fornafn	pron.	1K																þínir -- þínar -- þín	þinn  --  þín -- þitt									þinn.mp3	twój	zaimek
kunna	so	s	7064	386	427491	Hún lærði amerískt táknmál og	kunni	um 250 orð.	Hún lærði amerískt táknmál og	kunni	um 250 orð.	kʰʏna	Sagnorð	v.	1K	kann	kannt	kann	kunni	kunnir	kunni	kunnað																			kunna.mp3	potrafić	czasownik
áhersla	kvk	nv	7061	387	158526	Öll framboð í Kópavogi leggja	áherslu	á úrlausnir í húsnæðismálum.	Öll framboð í Kópavogi leggja	áherslu	á úrlausnir í húsnæðismálum.	auːhɛr̥stla	Nafnorð	f.	1K									áherslu	áherslu	áherslu	áherslur	áherslur	áherslum	áherslna											áhersla.mp3	podkreślenie	rzeczownik
móti	fs	a	7051	388.5	495307	Við munum berjast á	móti	þessu eins og við getum.	Við munum berjast á	móti	þessu eins og við getum.	mouːtɪ	Forsetning	prep.	1K								móti																		móti.mp3	przeciwko; do, w kierunku	przyimek
forseti	kk	nk	7050	390	111242		Forseti	Íslands er erlendis og hittir hann því ekki.		Forseti	Íslands er erlendis og hittir hann því ekki.	fɔr̥sɛtɪ	Nafnorð	m.	1K									forseta	forseta	forseta	forsetar	forseta	forsetum	forseta											forseti.mp3	prezydent	rzeczownik
bíll	kk	nk	7029	391	4758	Stolinn	bíll	stóð fyrir utan.	Stolinn	bíll	stóð fyrir utan.	pitl̥	Nafnorð	m.	1K									bíl	bíl	bíls	bílar	bíla	bílum	bíla											bíll.mp3	samochód	rzeczownik
heim	ao	a	7017	392	495593	Hún er á leið	heim	til sín.	Hún er á leið	heim	til sín.	heiːm	Atviksorð	adv.	1K								heim																		heim.mp3	Dom	przysłówek
njóta	so	s	6976	393	467531	Og það er bara eðlilegt að fólk	njóti	góðs af því.	Og það er bara eðlilegt að fólk	njóti	góðs af því.	njouːta	Sagnorð	v.	1K	nýt	nýtur	nýtur	naut	naust	naut	notið																			njóta.mp3	cieszyć się; korzystać na	czasownik
framkvæmd	kvk	nv	6974	394	128673	Handritin voru tekin þaðan um miðjan október vegna	framkvæmda	í Þjóðmenningarhúsinu.	Handritin voru tekin þaðan um miðjan október vegna	framkvæmda	í Þjóðmenningarhúsinu.	framkʰvaimt	Nafnorð	f.	1K									framkvæmd	framkvæmd	framkvæmdar	framkvæmdir	framkvæmdir	framkvæmdum	framkvæmda											framkvæmd.mp3	realizacja, wykonanie	rzeczownik
